Station,Arrival,Time,#Passengers
A,7:00,25
A,7:10,50
A,7:20,75
A,7:30,100
A,7:40,125
A,7:50,150
A,8:00,125
A,8:10,100
A,8:20,75
A,8:30,50
A,8:40,45
A,8:50,40
A,9:00,35
A,9:10,30
A,9:20,25
A,9:30,20
A,9:40,15
A,9:50,10
A,10:00,5
B,7:00,50
B,7:10,75
B,7:20,100
B,7:30,125
B,7:40,150
B,7:50,175
B,8:00,150
B,8:10,125
B,8:20,100
B,8:30,100
B,8:40,75
B,8:50,75
B,9:00,50
B,9:10,45
B,9:20,35
B,9:30,25
B,9:40,20
B,9:50,15
B,10:00,10
C,7:00,50
C,7:10,100
C,7:20,150
C,7:30,200
C,7:40,250
C,7:50,200
C,8:00,175
C,8:10,150
C,8:20,150
C,8:30,125
C,8:40,100
C,8:50,75
C,9:00,50
C,9:10,50
C,9:20,45
C,9:30,40
C,9:40,35
C,9:50,30
C,10:00,25
